text,actual_encoded,predicted_encoded,actual_category,predicted_category
believe purchasing apc unit someone online resell sent invoice payment link total xxxx xxxx transaction issue go call xxxx xxxx representative advise cancel payment request come vendor send two payment one one upon transaction go felt confident xxxx xxxx seem like secure way pay use chase business visa debit card thought protect one way another payment make stop hearing seller could get touch call chase xxxx xxxx result nothing tell like sent cash someone internet understand make sense xxxx xxxx policy procedure people receive money least large sum take get verify ensure scammer get people xxxx good policy regard chase xxxx xxxx able say sorry anything extremely difficult hit small business left wonder xxxx xxxx even allow operate industry little check balance,1,4,Credit card or prepaid card,"Money transfer, virtual currency, or money service"
chase owes credit balance get frustrate every time call get different answer keep get transfer around ask speak appropriate dept get refund advise dept speak phone available write also told check take seven business day request receive week ago today least call put request unless course fact straight say record want money back merchant credit finally receive due fraud overpayment way take loss business credit merchant chase permanent therefore need non sense research call last night told refund check sent call today told request still review call tell go take additional four day research also mention account close due bank policy aware sure keep tell call since tell call balance refund check mention anything account close,1,0,Credit card or prepaid card,Checking or savings account
live bank own house want buy bank acknowledge help buy house live soon gon sell want buy,0,5,Checking or savings account,Mortgage
xxxx chase return check automatically withdrawn check account every day call chase numerous time find check return chase record sent letter state late payment also report collection tell didnt owe anything happen xxxx xxxx go issue since xxxx able resolve problem,5,0,Mortgage,Checking or savings account
chase credit card suppose bill xxxx instead bill xxxx xxxx veteran check deposit account usually xxxx cause insufficient fund charge xxxx xxxx xxxx refuse pay draft xxxx refuse erase charge regulation chase pay nsf charge,3,0,Debt collection,Checking or savings account
despite one month half call directly use number furnish back card print letter phone number print back document fix mistake try possible way make sign doc way would responsible exactly amount prove liability card account fraudullentlly open name without consent mean come many time really necessary say victim identity steal xxxx xxxx xxxx also know xxxx xxxx fraud also xxxx xxxx xxxx xxxx fraud xxxx xxxx fraud fraud morgan chase xxxx xxxx go press charge pursue jail time individual steal family steal employee steal supplier steal state florida strelinfg federal government whoever might interested xxxx xxxx xxxx one victms proo crime include limited bad treatment cat call xxxx xxxx xxxx xxxx left alone place disgust nasty unfit animal live thanks xxxx xxxx xxxx,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
apply loan payment decrease xxxx deny chase xxxx reason state income detail give call xxxx told deny multiple time chase must do best make sure paperwork review want know detail income deny currently work part time receive partial unemployment benefit medicaid receive modest amount food assistance understand able know detail application deny work diligently keep financial life afloat credit good stand continue make payment even late sign good faith default loan need answer,6,5,Student loan,Mortgage
make additional payment chase order pmi remove account told payment make rear still pay extra xxxx even though loan value ratio xxxx still take account label pmi call find told mistake would refund money begin xxxx wait day result call back time guy say would send escalation department resolve week another day nothing bank call basically get runaround xxxx call chase ask speak manager problem manager get phone explain situation ask take long give back money told fault one set payment told letter chase tell xxxx would last month charge xxxx payment would instead charge explain lady auto pay feature withdraws amount charge number put fault told go report snicker say report apparently chase think law whatever want whenever want never open another loan account bad customer service ever dealt,5,7,Mortgage,Vehicle loan or lease
get auto loan buy car yr motor vehicle surrender repossess get letter collection seek mortgage make aware lender collection report contact bank told car appraise auction seek collect say,3,7,Debt collection,Vehicle loan or lease
xxxx morgan xxxx xxxx deposit chase acct last four xxxx transfer claim dept xxxx xxxx hold xxxx xxxx xxxx fill claim deposit fed california total somehow sent morgan chase rout number xxxx account number xxxx xxxx xxxx xxxx correct account number per xxxx xxxx xxxx claim number xxxx claim xxxx xxxx xxxx per answer xxxx get call tomorrow person work claim call find xxxx misrepresent procedure give claim number xxxx xxxx pst xxxx jibe previous information xxxx california franchise tax board xxxx xxxx xxxx spoke xxxx xxxx xxxx xxxx xxxx accord ftb receive morgan chase bank intimate return matter procedure within business day per xxxx record return refund told provide follow information fax xxxx xxxx name telephone number bank representative two month bank chase xxxx xxxx xxxx station xxxx supervisor xxxx fax xxxx told xxxx would likely take day get answer paper check mail chase phone number xxxx call back claim department morgan chase receive ambiguous letter spoke lei supervisor claim department xxxx xxxx xxxx pst record fund account transaction information available xxxx supervisor claim department say leaf catch situation party ftb chase claim others responsibility determine fund go xxxx call ftb wait call back xxxx xxxx approx friday xxxx spoke xxxx call back say receive fax sent tuesday xxxx ask call normal phone number xxxx xxxx xxxx heard anything back since xxxx spoke woman cftb say essentially care refund almost heard sorry xxxx xxxx xxxx xxxx xxxx xxxx cfpb xxxx speak xxxx xxxx unknown reason wait get back move along xxxx xxxx xxxx xxxx cfpb note say need call heckstarl already take care xxxx xxxx xxxx xxxx irs accord xxxx enter filing incorrectly lead approach morgan chase xxxx ssn totally incorrect told resubmit paperwork time without xxxx information keep screenshots fill totally incorrect fill form correctly xxxx attach three month chase account possession refund,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
loan chase mortgage company anymore owe nothing account report negative payment sell loan another mortgage company xxxx,3,5,Debt collection,Mortgage
reference number claim number xxxx xxxx attention xxxx xxxx chase bank xxxx xxxx claim xxxx xxxx xxxx xxxx stole client xxxx husband xxxx manager xxxx xxxx picture chase sent xxxx prove service delivery xxxx anything rebuttal service dispute work xxxx xxxx separate issue xxxx sent chase bank fraudulent picture completely separate issue order get fund back prove chase deposit check bank account xxxx xxxx client xxxx xxxx xxxx thier manager xxxx xxxx present paid third party xxxx xxxx xxxx deliver service client xxxx xxxx xxxx xxxx xxxx xxxx xxxx suppose deliver service would amount entail xxxx xxxx xxxx xxxx day kept xxxx xxxx client xxxx xxxx xxxx write xxxx check deposit xxxx xxxx account chase go xxxx write xxxx xxxx client music xxxx xxxx xxxx across nation client record song xxxx xxxx client xxxx xxxx client xxxx xxxx xxxx xxxx xxxx xxxx cashed check chase account give xxxx xxxx payment xxxx never deliver service client xxxx ask refund xxxx xxxx non receipt service xxxx agree give refund client since day pass service give xxxx promise client return entired end xxxx xxxx write via email xxxx never give refund client ask take back put claim chase chase unprofessional dishonorable bank ever dealt nightmare xxxx submit fraudalent paper work bank picture completeley seperate transaction proof transaction prove chase submit lie see follow uploads since xxxx gotten back xxxx chase account addition sent client bounce check xxxx xxxx account robbed client completley chase bank allow xxxx send emailes text message xxxx submit documentation much comprehensive proof letter front back check along xxxx state would give back fund bank refuse told send email text message mind allow send see doc mean behavior model please feel free contact xxxx xxxx proof xxxx give service documentation xxxx sent fraudulent xxxx xxxx xxxx xxxx xxxx proof xxxx reference number claim number xxxx xxxx attention xxxx xxxx xxxx xxxx claim,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
try one occasion dispute verbiage credit report xxxx refuse change despite effort xxxx jpmogan chase bank xxxx xxxx state fix problem since actively debt debt discharge bankruptcy xxxx need resolve post accordingly entity need post accordingly debt claim paid charge write transfer discharge bankruptcy due fraudulent payment activity debt trust could prove own collection lawsuit debt longer legally sue reporting negative credit information sue consumer debt without proper documentation filing false improperly notarize legal document xxxx state debt comment account change consumer dispute reinvestigation process consumer dispute reinvestigation process transfer recovery charge account student loan essentially make xxxx progress despite fact sent bankruptcy discharge documentation,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
possession personal check hop true real legal write instrument complete cash financial transaction promise consent party signature name also part indentifying print name check check print represent fiananal institution name chase morgan chase bank phone publicly release phone number chase xxxx number public use contact chase customer service call person answer state request issue check look amount good clear account number state check rep want account number state account number rounting number give request rep rep give indication rep perform computer entry account number give silence remains rep proceedure rep askes name owner check respond title print check reference mother full name revocable trust include name print trust name individual name trustee silence verbal verification rep state account number give active open however name give trust owner account number give owner account number give listing name individual owner account number give rep also inciates non opportunity reason reponse discus anything account owner due confidentuality protection customer immediately terminates phone call response mean chase real person real authorize individual speak behalf chase big financial institution identify account number belonging chase also confers imposer forgey even bother concern connection fiananical document criminal instrument possession tuff xxxx loss account number good chase xxxx accept chase name ggod faith infinacial instution busniess local branch chase street house physically handel check look check run check account number chase computer hand back word cash check account personal choice private financial institution show financial liability chase verify bank chase business account hold fund available immediate payment upon presentation chase approve instrutment document decline legal cash tranasaction instrutment public person issue instrument hold fund chase personal discrission state choose competiators bank private concern superceeds right financial liability transfer chase cash pay finacial liability unnamed bank illegally force accept preform guarentee reserve chase ilegal witholding fund chase possession make money without fullfillment good faith contract,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
xxxx reach chase attempt raise credit limit upon review credit xxxx deny claim many installment loan mortgage automobile student loan firstly one paid full monday secondly xxxx credit score card nearly year due concerned rejection error possibly issue discrimination,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
sign new payment agreement chase bank attach new agreement fix payment schedule replace monthly payment previously due month upon make payment time every month almost year brought attention chase reporting payment late time contact indicate past due amount still never disclose additional payment make top agree monthly payment order avoid late payment take agreement first place chase repeatedly refuse change derogatory nature credit bureau report indicate agree detail verbally unable provide record conversation indicate state contract detail aware attach complaint say nothing additional money require contract next step follow agreement letter intent save credit much possible find say agreement nothing sort want lates remove feel ask much look time history every payment,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
chase bankhave put account charge collection agency try get interest xxxx dollar xxxx dollar xxxx year ago xxxx xxxx nerve break could work work hour limited receive short term xxxx call chase bank told use cover protection plan time later say would put hardship program never heard year xxxx get letter work xxxx year personal office last year make enough garnish year try number xxxx please call,1,3,Credit card or prepaid card,Debt collection
plan trip xxxx depart xxxx base travel company name xxxx xxxx use trip past paid trip installment check account follow amount four different date xxxx xxxx xxxx xxxx due covid pandemic trip xxxx xxxx cancel xxxx xxxx offer move trip xxxx departure switch different trip entirely make clear money paid non refundable via email sent xxxx xxxx xxxx attachment pdf attachment pdf xxxx receive email inform xxxx xxxx bankrupt longer trading attachment pdf refer frequently ask question page xxxx xxxx website would guide customer get money back cancel trip attachment pdf website reference flowchart create xxxx xxxx xxxx page attachment pdf show customer option pursue request refund bottom flowchart message xxxx xxxx customer like message state customer base outside xxxx xxxx pursue claim via bank card provider xxxx submit claim chase bank aforementioned transaction receive notification temporary credit would apply account research attachment pdf xxxx receive letter chase bank regard claim inform credit would remove xxxx attachment pdf reach back xxxx xxxx xxxx insolvency company xxxx xxxx receive response xxxx xxxx attachment pdf include copy term condition attachment pdf response xxxx xxxx attachment pdf xxxx xxxx xxxx advise file complaint consumer financial protection bureau,0,1,Checking or savings account,Credit card or prepaid card
owner xxxx xxxx xxxx put incorrect original tax try update covid nobody help,0,2,Checking or savings account,"Credit reporting, credit repair services, or other personal consumer reports"
mortgage discharge xxxx chapter xxxx bankruptcy accord chase bank record chase bank establish escrow account receive escrow account statement date xxxx would double exist mortgage payment xxxx respa prohibits loan servicers demand excessively large escrow account case xxxx open chase bank xxxx attempt contact relationship manager xxxx xxxx xxxx eliminate reduce excessive escrow amount make late phone call xxxx xxxx agent chase bank xxxx able connect relationship manager xxxx xxxx xxxx discus spent hour phone much hold chase bank resolve escrow issue satisfaction,3,5,Debt collection,Mortgage
xxxx never sent statement,5,6,Mortgage,Student loan
employ jpmorgan chase xxxx xxxx xxxx part xxxx year receive short term xxxx entitle pay xxxx xxxx xxxx receive letter state overpaid xxxx xxxx xxxx xxxx pay period letter title notification overpayment never receive first letter also live address since xxxx lock mailbox check open mail monday saturday letter state owe upon receipt letter contact accessxxxx jpmorgan chase spoke representative say could find mistake pay indicate overpaid escalate call specialist xxxx xxxx xxxx supply amount paid tax say unable supply tax amount paid could compare bank statement claimed ability compute tax impossible also say could provide documentation prove total amount list owe actually correct calculation owe large incorrect tax calculation sure correct tell tax computation impossible begin advise could make payment arrangement jpmorgan chase current employer pay full amount day call would report collection agency assure credit would impact find hard believe also say would bar work financial institution pay fund provide zero documentation validate claim company agree get document method believe overpaid jpmorgan chase paid amount directly assumption fund due lawfully receive fund spent knowledge assumption fund due point initiate fund account company contact year report error xxxx refuse provide contact information even name case worker handle case,3,7,Debt collection,Vehicle loan or lease
xxxx xxxx xxxx jmpcb card xxxx jmpcb card xxxx xxxx xxxx xxxx xxxx xxxx,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
keep get bill lock box chase never one one,3,1,Debt collection,Credit card or prepaid card
trouble bank credit card issue first manage pretty well go hardship use like balance high even since could remember apr never late monthly last month felt like give ive try plead work decline every time also checkings account theyre kill fee together ive paid least xxxx fee app doesnt show transaction day later balance accurate please help,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
xxxx non compliant remove unverified account chase card xxxx delete xxxx xxxx xxxx xxxx complete research determine chase card establish xxxx keep verify account also call company respond xxxx send verify evidence confirm account unverified,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
chase credit cardxxxx xxxx xxxxclosed xxxx detailslast report xxxx xxxx xxxxcreditor name chaseaccount type credit cardaccount status close derogatoryopened date xxxx xxxx xxxx date xxxx xxxx xxxx xxxx monthly payment xxxxresponsibility authorize userbalance xxxx balance xxxx status collection charge offworst payment status unknowndate last payment xxxx xxxx xxxxamount past due xxxx day late remark charge bad debtcanceled credit grantormy decease father debt mine,3,2,Debt collection,"Credit reporting, credit repair services, or other personal consumer reports"
may concern customer chase slate many year history late delinquent payment although open account use credit card purchase surprise credit score drop due negative report chase credit card contact inform xxxx subscription charge inform chase idea charge receive electronic notification bill furthermore unaware subscription charge xxxx particular account due circumstance overall plus year stellar credit history never miss payment kindly request chase take circumstance consideration emphasize never miss payment past refuse subsequently harm ability apply business credit card,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
contact xxxx xxxx many time dispute chase account fraudulently compromise many year ago success get fraudulent account remove credit file report account steal year ago need help get account remove credit file mention identity steal along account compromise,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
xxxx credit line inquiry xxxx call company submit fraud inquiry investigate xxxx xxxx credit line inquiry xxxx call company close application xxxx xxxx xxxx credit line loan inquiry xxxx successful charge loan company submit fraud application investigate company morgan credit line inquiry xxxx call company submit fraud inquiry investigate,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
please see attach letter thank,1,3,Credit card or prepaid card,Debt collection
last year inform attempt apply amazon credit card totally false amazon online account never apply attempt apply credit card either directly indirectly amazon amazon purchase routinely paid use debit card suspect identify use fraudulently apply credit card chase bank usa learn attempt subsequently decline application receive letter explanation credit bureau since dispute inaccurate information credit bureau deny relief,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
try multiple time apply chase account decline xxxx xxxx system request credit report found derogatory item go back bank several attempt solve issue unable get account apply report xxxx xxxx xxxx await response,0,2,Checking or savings account,"Credit reporting, credit repair services, or other personal consumer reports"
xxxx report show morgan chase owe balance allege account also state close knowledge account also allege account close year ago need remove xxxx report account remove please send another report,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
dollar check deposit check account call chase cancel check process check able anything result pay double amount,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
chase make life living xxxx chase lie mod request prior mod wrong figure increase arrears use wrong interest rate xxxx chase bank flush file admit receive clarification sole business llc cause wrongful notice xxxx xxxx file false affidavit day past day past xxxx full file date accidently flush admit wrong promise correct however instead file defective nod xxxx violate hbor strung along transfer open review send xxxx xxxx transfer dispute continued dispute figure wrongly accrue faulty nod cause massive harassment year straight back back sale date threat regardless applicable law xxxx attempt file ntsd sale date threat window transfer time another violation law claimed chase never give prior file use excuse time cause massive abuse loan xxxx xxxx xxxx say order rewrite loan market drop time default rewrite however instead party go xxxx go belly xxxx also go fell hand morgan chase security chase bank chase claimed owner however xxxx sec state side dealing occur earlier xxxx take believe loan sell outside party current route create state federal court regulator chase never fix promise instead put hand abusive collection mentality comprehension law xxxx chase state investor owner xxxx xxxx lawsuit come attack chase suddenly backdate non link chain title xxxx claim security true fdic state chase however chase let new false fake document come light include forge affidavit assignment wrong party allonge self create name xxxx allonge make sense make claim pass xxxx chase xxxx also backdate fake assign non link claim xxxx miss nearly year go back miss entire link chain file completely bogus chase admit real investor know however release lien allow bogus claim fake claim make appear attorney firm work closely chase use address cause wrong figure xxxx damage occur illegal harassment constant sale date threat follow law publishing time bar debt even exist anymore chase provide true fact xxxx xxxx continue act forge note lack competency continue ignore law include threaten cause party publish debt longer owe believe figure claimed owe cause chase bank allow false claim make xxxx xxxx fails follow law misrepresents detail homeowner attorney self directs dealing cause libel slander title defame reputation cause interference due publishing false debt claimed owe debt write xxxx discharge xxxx fact xxxx trustee xxxx bogus,5,3,Mortgage,Debt collection
filing multiple request see provide multiple receipt proof document often document provide check amount hold lieu final settlement total claim explanation provide card benefit service check amount arrive amount claim deny reason denial earlier cfpb complaint filing xxxx xxxx,1,0,Credit card or prepaid card,Checking or savings account
accidentally mistake sent wrong account call chase immediately tell mistakenly sent wrong person cancel pending payment return money account send right person chase refuse give back allegedly say person receive transfer negative use money pay negative balance try reach chase time time say paid someone elses negative balance money,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
contact company phone claim xxxx xxxx say computer send error message need repair later day found sent email write sign document company name xxxx xxxx call chase freedom xxxx immediately submit scammed call xxxx find association xxxx xxxx xxxx month try get money back receive service xxxx chase finally told civil matter nothing even though victim scam misrepresentation xxxx therapist could lose everything work,1,4,Credit card or prepaid card,"Money transfer, virtual currency, or money service"
deed mortgage husband court order xxxx per final divorce order maintain mortgage payment sell marital residence make payment mortgage illegally utilize care act relief pay mortgage unable pay mortgage refinance since xxxx take advantage pandemic keep pay mortgage also falsifies income refinance application meantime since xxxx repaint marital residence almost square foot include finish basement completely refloored entire home resurface ground pool add salination filtration system pool file false claim insurance company get roof replace mention purchase three new golf cart two new jet skiis get retirement xxxx xxxx xxxx receives rental income whomever life home rental property locate xxxx xxxx xxxx county rental property xxxx xxxx xxxx xxxx county xxxx stipend xxxx xxxx xxxx xxxx own xxxx xxxx xxxx accord xxxx xxxx xxxx earns xxxxyr abhor deceive mortgage insurance company use federal program evade pay mortgage terrify include scandal get caught sought relief xxxx county circuit court judge refuse request notify mortgage holder morgan chase attorney xxxx xxxx xxxx xxxx action take also file claim http xxxx action take please help,2,5,"Credit reporting, credit repair services, or other personal consumer reports",Mortgage
sent offer chase balance transfer contact xxxx xxxx xxxx initiate balance transfer told qualify transfer would day never go notify xxxx xxxx xxxx call question go told get deny fraud department could get hod although never call phone record show call apologize state would wait phone call form fraud department call never come fail call xxxx spoke several supervisor name one fraud department told put fraud dept would definitely process apologize say would definitely name sure phone call record point go another company assure would problem call next week spoke customer service department told wait confirmation recipient told worry definitely go spoke xxxx xxxx xxxx told block fraud department complaint two fold communication decline promise third attempt mistake set feel point negligence cost money time lot frustration would pursue mean address financial dilemma told take care constitutes false claim mislead public,1,4,Credit card or prepaid card,"Money transfer, virtual currency, or money service"
chase card thats close charge card fraud likely use without consent ive dispute company fraud still show report receive letter mail account immediately remove balance close,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
xxxx appraisal fee refund closing fail refinance attempt xxxx chase bank xxxx xxxx xxxx xxxx zip codexxxx appraisal fee shoud incorporate closing cost commission broker money respond numerous voicemail email manager do branch manager email contact possible pocket fund due think entitle appraisal fee refund appraisal fee warrant time refinance play dodge ball think give please help thanks,0,5,Checking or savings account,Mortgage
xxxx one apply credit card name without consent acknowledge debt want everything delete victim,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
chase bank deny credit application xxxx credit card reference number xxxx cite bankruptcy issue denial yet application specifically ask whether applicant bankruptcy credit file checked box yes yet still place inquiry credit report proceed deny bankruptcy believe extremely deceptive hurtful fico score deceptive application process mislead believe would qualify credit card bankruptcy report account long fico score annual income credit history acceptable fico score xxxx exceptionally annual income suffcient card reason deny credit extremely malicious know would deny ground bankruptcy already knew would never apply call chase complain deceptive behavior part proceed tell fact deny due inquiry report also true xxxx inquiry xxxx place unnecessary know bankruptcy old chase never place inquiry report since reason give reject application result unnecesary inquiry fico score drop xxxx point,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
back xxxx xxxx victim identity theft thief stole personal banking account well result file police report open criminal fraud investigation banking institution resolve case xxxx xxxx result fell behind payment creditor since access fund need pay victim theft reach morgan chase notify put payment plan also sent certify letter explain situation ask update negative credit reporting delinquent period take consideration prior victim identity theft always time payment xxxx rep name xxxx chase credit bureau team told although victim identity theft nothing update credit reporting kept explain need update base circumstance victim told nothing customer shock hurt victim situation nothing chase long time customer cause undue stress family,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
